GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TextField,0,43,0,4,0,12,0,5,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.ISO8601TimeZoneStrategy,0,41,0,4,0,13,0,7,0,4
Apache Commons Lang,org.apache.commons.lang3.time,DateUtils.ModifyType,21,39,0,0,1,7,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.CaseInsensitiveTextStrategy,0,71,0,2,0,16,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.time,GmtTimeZone,2,135,1,11,0,23,1,16,0,11
Apache Commons Lang,org.apache.commons.lang3.time,TimeZones,3,0,0,0,2,0,1,0,1,0
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.UnpaddedMonthField,3,31,1,1,1,10,1,5,0,5
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.Strategy,2,3,0,0,1,1,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitMonthField,0,23,0,0,0,8,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.StrategyAndWidth,0,34,0,6,0,9,0,5,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.DayInWeekField,6,27,0,2,2,7,1,4,1,3
Apache Commons Lang,org.apache.commons.lang3.time,FastTimeZone,3,86,0,18,2,19,1,15,1,6
Apache Commons Lang,org.apache.commons.lang3.time,FastDateFormat.new FormatCache() {...},0,10,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitNumberField,0,28,0,2,0,11,0,5,0,4
Apache Commons Lang,org.apache.commons.lang3.time,DurationFormatUtils,22,854,10,113,10,211,10,68,0,13
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.PatternStrategy,0,50,0,2,0,13,0,6,0,5
Apache Commons Lang,org.apache.commons.lang3.time,DateFormatUtils,9,155,0,0,1,43,1,17,1,17
Apache Commons Lang,org.apache.commons.lang3.time,DurationFormatUtils.Token,13,108,1,15,2,28,3,14,2,7
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.WeekYear,6,17,0,0,2,6,1,3,1,3
Apache Commons Lang,org.apache.commons.lang3.time,FormatCache,17,181,2,16,4,38,2,16,0,9
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwelveHourField,6,28,0,2,2,9,1,4,1,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.UnpaddedNumberField,0,39,0,4,0,13,0,6,0,4
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State,21,49,0,0,1,5,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.CopyQuotedStrategy,0,55,0,6,0,14,0,6,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser,31,634,6,76,5,136,7,67,1,22
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.Iso8601_Rule,0,99,0,12,0,30,0,12,0,5
Apache Commons Lang,org.apache.commons.lang3.time,FormatCache.MultipartKey,0,50,0,6,0,11,0,6,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.CharacterLiteral,0,14,0,0,0,6,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitYearField,0,23,0,0,0,8,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3.time,DateUtils,44,1339,14,184,10,296,16,149,4,57
Apache Commons Lang,org.apache.commons.lang3.time,DateUtils.DateIterator,0,44,0,2,0,11,0,5,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.TimeZoneStrategy.TzInfo,0,14,0,2,0,4,0,2,0,1
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter,55,968,14,129,11,237,14,102,2,30
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch,5,235,1,29,1,63,1,34,0,20
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.StrategyParser,0,164,0,24,0,30,0,16,0,4
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.SplitState,21,29,0,0,1,3,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneNameRule,0,60,0,2,0,13,0,4,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwentyFourHourField,6,28,0,2,2,9,1,4,1,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateFormat,17,280,0,2,3,47,3,40,3,39
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneNumberRule,0,67,0,4,0,19,0,6,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.StringLiteral,0,16,0,0,0,6,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,8,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,13,0,2,0,2,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new Comparator() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.TimeZoneStrategy,16,160,3,16,3,37,3,9,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,11,0,2,0,2,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,11,0,2,0,2,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,13,0,2,0,2,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State.new StopWatch.State() {...},0,12,0,0,0,4,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State.new StopWatch.State() {...},0,12,0,0,0,4,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State.new StopWatch.State() {...},0,12,0,0,0,4,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State.new StopWatch.State() {...},0,12,0,0,0,4,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneDisplayKey,4,65,4,8,2,16,4,5,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.NumberStrategy,0,87,1,13,0,28,1,10,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.PaddedNumberField,4,29,1,1,1,10,1,4,0,4
Apache Commons Lang,org.apache.commons.lang3.math,IEEE754rUtils,0,239,0,40,0,49,0,33,0,13
Apache Commons Lang,org.apache.commons.lang3.math,NumberUtils,30,1754,32,378,7,447,29,245,1,67
Apache Commons Lang,org.apache.commons.lang3.math,Fraction,32,1279,16,180,6,265,14,119,0,35
Apache Commons Lang,org.apache.commons.lang3.builder,MultilineRecursiveToStringStyle,66,313,1,7,18,67,4,14,3,11
Apache Commons Lang,org.apache.commons.lang3.builder,ReflectionDiffBuilder,13,97,0,12,1,20,0,10,0,4
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.NoFieldNameToStringStyle,2,6,0,0,1,3,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,19,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,19,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,CompareToBuilder,55,947,30,190,21,239,32,109,2,29
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.MultiLineToStringStyle,2,29,0,0,1,6,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.DefaultToStringStyle,2,3,0,0,1,2,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.ShortPrefixToStringStyle,2,9,0,0,1,4,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,EqualsBuilder,56,1091,40,212,23,283,42,127,2,41
Apache Commons Lang,org.apache.commons.lang3.builder,RecursiveToStringStyle,0,47,1,5,0,14,1,6,0,4
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder,4,687,3,111,1,154,3,77,0,23
Apache Commons Lang,org.apache.commons.lang3.builder,IDKey,4,33,2,4,1,10,2,4,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,ReflectionToStringBuilder,36,407,2,48,5,93,5,51,3,28
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.NoClassNameToStringStyle,2,9,0,0,1,4,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,Diff,0,52,0,0,0,10,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.JsonToStringStyle,200,191,39,25,69,56,31,19,8,10
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.SimpleToStringStyle,2,18,0,0,1,7,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3.builder,StandardToStringStyle,97,46,0,0,39,23,29,12,29,12
Apache Commons Lang,org.apache.commons.lang3.builder,DiffResult,0,133,0,12,0,26,0,13,0,7
Apache Commons Lang,org.apache.commons.lang3.builder,HashCodeBuilder,34,740,2,92,5,157,5,79,3,34
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringBuilder,0,591,0,12,0,132,0,70,0,64
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle,86,1648,17,201,18,495,25,197,8,105
Apache Commons Lang,org.apache.commons.lang3.arch,Processor,0,40,0,0,0,11,0,8,0,8
Apache Commons Lang,org.apache.commons.lang3.arch,Processor.Arch,21,39,0,0,1,7,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3.arch,Processor.Type,21,49,0,0,1,9,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3,BooleanUtils,0,800,9,245,0,205,9,161,0,41
Apache Commons Lang,org.apache.commons.lang3,BitField,0,139,0,12,0,21,0,24,0,18
Apache Commons Lang,org.apache.commons.lang3,CharSet,0,304,0,34,0,58,0,26,0,9
Apache Commons Lang,org.apache.commons.lang3,ArchUtils,19,210,1,3,3,35,3,12,2,11
Apache Commons Lang,org.apache.commons.lang3,CharSequenceUtils,11,282,12,58,4,68,11,32,0,8
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.AlwaysTruePredicate,0,7,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils,0,459,6,82,0,94,6,52,0,14
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,0,27,1,5,0,6,1,4,0,2
Apache Commons Lang,org.apache.commons.lang3,SerializationException,0,16,0,0,0,8,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils,43,457,8,84,15,95,9,48,1,10
Apache Commons Lang,org.apache.commons.lang3,Range.ComparableComparator,5,40,0,0,0,4,1,4,1,4
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils,31,683,1,87,6,158,1,80,0,37
Apache Commons Lang,org.apache.commons.lang3,RegExUtils,3,95,0,30,1,20,1,25,1,10
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,0,39,2,8,0,6,2,6,0,3
Apache Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,0,130,0,18,0,36,0,14,0,5
Apache Commons Lang,org.apache.commons.lang3,RandomStringUtils,9,314,0,58,1,71,1,49,1,20
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},6,77,4,4,1,22,4,3,0,3
Apache Commons Lang,org.apache.commons.lang3,CharSetUtils,0,255,1,53,0,61,1,34,0,8
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,21,0,0,0,4,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.new Iterable() {...},0,18,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,CharRange,0,240,1,47,0,43,1,37,0,14
Apache Commons Lang,org.apache.commons.lang3,CharUtils,0,343,0,54,0,55,0,52,0,25
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,22,1,3,0,3
Apache Commons Lang,org.apache.commons.lang3,ArrayUtils,113,8222,95,1459,48,2025,101,997,9,312
Apache Commons Lang,org.apache.commons.lang3,CharEncoding,0,13,0,2,0,6,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3,Conversion,193,2486,84,376,32,433,75,229,1,43
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.Interfaces,21,29,0,0,1,2,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3,NotImplementedException,0,41,0,0,0,16,0,7,0,7
Apache Commons Lang,org.apache.commons.lang3,RandomUtils,0,185,0,26,0,36,0,25,0,12
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils.SyncAvoid,3,16,0,0,1,4,1,1,1,1
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,0,93,1,7,0,14,1,6,0,3
Apache Commons Lang,org.apache.commons.lang3,ClassPathUtils,0,120,0,0,0,14,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,0,69,0,4,0,12,0,5,0,3
Apache Commons Lang,org.apache.commons.lang3,SystemUtils,25,456,20,28,5,130,15,27,0,18
Apache Commons Lang,org.apache.commons.lang3,StringUtils,8,6951,26,1491,3,1705,26,967,0,234
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils,0,1091,0,0,0,146,0,18,0,18
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils,0,314,5,41,0,60,5,34,0,16
Apache Commons Lang,org.apache.commons.lang3,Validate,22,795,17,107,6,144,17,96,2,49
Apache Commons Lang,org.apache.commons.lang3,ClassUtils,65,1361,19,239,17,333,21,162,4,50
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.1.new Iterator() {...},4,29,0,2,1,5,1,4,1,3
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.2.new Iterator() {...},4,94,1,9,1,17,2,8,1,4
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils.Null,0,5,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,EnumUtils,0,399,1,35,0,66,1,32,0,15
Apache Commons Lang,org.apache.commons.lang3,Range,23,399,6,70,2,84,6,56,0,24
Apache Commons Lang,org.apache.commons.lang3,ArrayUtils.new Comparator() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,JavaVersion,29,364,5,35,5,78,7,23,2,8
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils,41,170,13,19,3,29,10,13,0,7
Apache Commons Lang,org.apache.commons.lang3.text,StrLookup,0,23,0,0,0,7,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3.text,StrBuilder,77,3489,22,510,18,748,24,391,2,147
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.TrimMatcher,0,12,0,2,0,3,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.StringMatcher,14,40,0,6,1,10,1,5,1,2
Apache Commons Lang,org.apache.commons.lang3.text,StrBuilder.StrBuilderWriter,0,43,0,0,0,15,0,8,0,8
Apache Commons Lang,org.apache.commons.lang3.text,StrSubstitutor,15,1004,7,99,7,272,7,102,0,56
Apache Commons Lang,org.apache.commons.lang3.text,WordUtils,0,543,1,95,0,138,1,62,0,15
Apache Commons Lang,org.apache.commons.lang3.text,StrLookup.MapStrLookup,0,23,0,4,0,9,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.text,CompositeFormat,0,34,0,0,0,9,0,6,0,6
Apache Commons Lang,org.apache.commons.lang3.text,FormattableUtils,12,113,1,15,3,14,3,11,2,4
Apache Commons Lang,org.apache.commons.lang3.text,StrTokenizer,51,905,2,88,19,231,8,102,6,59
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.CharMatcher,0,16,0,2,0,4,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrBuilder.StrBuilderReader,0,148,1,23,0,31,1,20,0,9
Apache Commons Lang,org.apache.commons.lang3.text,ExtendedMessageFormat,137,621,31,78,31,156,32,47,5,17
Apache Commons Lang,org.apache.commons.lang3.text,StrLookup.SystemPropertiesStrLookup,1,11,0,2,1,4,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.CharSetMatcher,0,22,0,2,0,5,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher,0,135,0,12,0,35,0,22,0,16
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.NoMatcher,0,5,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrBuilder.StrBuilderTokenizer,8,27,2,2,2,8,2,3,0,3
Apache Commons Lang,org.apache.commons.lang3.reflect,ConstructorUtils,15,185,3,21,4,50,4,17,1,8
Apache Commons Lang,org.apache.commons.lang3.reflect,MemberUtils,25,402,9,69,6,73,10,43,1,13
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeImpl,20,47,2,4,5,9,3,7,1,6
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeBuilder,0,22,0,0,0,7,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeLiteral,13,68,2,2,4,12,4,4,2,4
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.ParameterizedTypeImpl,32,44,3,3,7,10,4,6,1,6
Apache Commons Lang,org.apache.commons.lang3.reflect,InheritanceUtils,0,42,0,10,0,12,0,7,0,2
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils,737,1688,164,262,145,371,128,143,8,50
Apache Commons Lang,org.apache.commons.lang3.reflect,FieldUtils,16,709,10,72,2,142,11,65,1,34
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.new Typed() {...},0,9,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.reflect,TypeUtils.GenericArrayTypeImpl,25,12,6,0,4,5,5,3,2,3
Apache Commons Lang,org.apache.commons.lang3.reflect,MemberUtils.Executable,0,38,0,0,0,12,0,6,0,6
Apache Commons Lang,org.apache.commons.lang3.reflect,MethodUtils,49,1031,17,131,16,240,16,88,0,30
Apache Commons Lang,org.apache.commons.lang3.exception,ContextedException,0,97,0,2,0,28,0,15,0,14
Apache Commons Lang,org.apache.commons.lang3.exception,ExceptionUtils,44,593,6,86,12,148,8,68,4,26
Apache Commons Lang,org.apache.commons.lang3.exception,ContextedRuntimeException,0,97,0,2,0,28,0,15,0,14
Apache Commons Lang,org.apache.commons.lang3.exception,CloneFailedException,0,13,0,0,0,6,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.exception,DefaultExceptionContext,0,227,0,24,0,49,0,20,0,8
Apache Commons Lang,org.apache.commons.lang3.event,EventUtils,26,80,0,0,4,13,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.event,EventListenerSupport.ProxyInvocationHandler,0,26,0,2,0,4,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.event,EventUtils.EventBindingInvocationHandler,0,58,0,8,0,11,0,7,0,3
Apache Commons Lang,org.apache.commons.lang3.event,EventListenerSupport,5,198,1,5,1,48,1,17,0,15
Apache Commons Lang,org.apache.commons.lang3.tuple,MutableTriple,0,43,0,0,0,17,0,9,0,9
Apache Commons Lang,org.apache.commons.lang3.tuple,MutablePair,0,40,0,0,0,16,0,8,0,8
Apache Commons Lang,org.apache.commons.lang3.tuple,ImmutableTriple,0,36,0,0,0,12,0,7,0,7
Apache Commons Lang,org.apache.commons.lang3.tuple,ImmutablePair,4,28,0,0,1,10,1,6,1,6
Apache Commons Lang,org.apache.commons.lang3.tuple,Pair,2,106,1,11,0,17,1,14,0,9
Apache Commons Lang,org.apache.commons.lang3.tuple,Triple,4,129,2,14,0,18,2,13,0,7
Apache Commons Lang,org.apache.commons.lang3.concurrent,Memoizer,8,87,1,9,2,25,1,8,0,4
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentRuntimeException,0,14,0,0,0,6,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.concurrent,AtomicInitializer,4,25,1,3,1,7,1,3,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,TimedSemaphore.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,AbstractCircuitBreaker,0,73,0,8,0,18,0,13,0,9
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker.StateStrategy,0,16,0,2,0,2,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,TimedSemaphore,0,207,0,22,0,62,0,30,0,19
Apache Commons Lang,org.apache.commons.lang3.concurrent,BackgroundInitializer,4,102,0,10,2,33,0,17,0,12
Apache Commons Lang,org.apache.commons.lang3.concurrent,BackgroundInitializer.InitializationTask,0,30,0,4,0,8,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker.StateStrategyOpen,0,22,0,4,0,5,0,5,0,3
Apache Commons Lang,org.apache.commons.lang3.concurrent,MultiBackgroundInitializer,3,166,0,14,0,33,0,12,0,5
Apache Commons Lang,org.apache.commons.lang3.concurrent,CircuitBreakingException,0,16,0,0,0,8,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker.CheckIntervalData,0,29,0,2,0,8,0,5,0,4
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConstantInitializer,0,57,0,6,0,14,0,9,0,6
Apache Commons Lang,org.apache.commons.lang3.concurrent,ThresholdCircuitBreaker,0,48,0,4,0,15,0,7,0,5
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker,2,217,2,10,0,51,2,24,0,20
Apache Commons Lang,org.apache.commons.lang3.concurrent,AtomicSafeInitializer,0,33,0,4,0,8,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,MultiBackgroundInitializer.MultiBackgroundInitializerResults,0,74,0,2,0,19,0,9,0,8
Apache Commons Lang,org.apache.commons.lang3.concurrent,CallableBackgroundInitializer,0,33,0,2,0,11,0,5,0,4
Apache Commons Lang,org.apache.commons.lang3.concurrent,BasicThreadFactory,0,107,0,10,0,30,0,14,0,9
Apache Commons Lang,org.apache.commons.lang3.concurrent,LazyInitializer,3,38,1,3,0,10,1,4,0,3
Apache Commons Lang,org.apache.commons.lang3.concurrent,BasicThreadFactory.Builder,0,74,0,0,0,23,0,8,0,8
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentUtils,3,159,0,34,2,42,1,29,1,12
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentException,3,11,0,0,2,4,1,2,1,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,AbstractCircuitBreaker.State.new AbstractCircuitBreaker.State() {...},0,8,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,AbstractCircuitBreaker.State.new AbstractCircuitBreaker.State() {...},0,8,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.concurrent,AbstractCircuitBreaker.State,5,45,0,0,0,4,1,3,1,3
Apache Commons Lang,org.apache.commons.lang3.concurrent,ConcurrentUtils.ConstantFuture,0,18,0,0,0,8,0,6,0,6
Apache Commons Lang,org.apache.commons.lang3.concurrent,EventCountCircuitBreaker.StateStrategyClosed,0,16,0,2,0,3,0,4,0,3
Apache Commons Lang,org.apache.commons.lang3.concurrent,Memoizer.new Callable() {...},0,16,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableFloat,0,218,0,4,0,60,0,34,0,32
Apache Commons Lang,org.apache.commons.lang3.mutable,MutableByte,0,226,0,4,0,60,0,33,0,31
